"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"37701_at"	"0.00572"	"4.53e-07"	"-17.34312"	"4.4576"	"-4.1796395"	"RGS2"	"regulator of G-protein signaling 2"
"39528_at"	"0.00985"	"2.71e-06"	"-13.388584"	"3.7469"	"-2.036502"	"RRAD"	"RRAD, Ras related glycolysis inhibitor and calcium channel regulator"
"39681_at"	"0.00985"	"2.89e-06"	"-13.258855"	"3.7159"	"-2.1286325"	"ZBTB16"	"zinc finger and BTB domain containing 16"
"1776_at"	"0.00985"	"3.12e-06"	"-13.112087"	"3.6799"	"-1.9981365"	"RRAD"	"RRAD, Ras related glycolysis inhibitor and calcium channel regulator"
"36629_at"	"0.01418"	"5.62e-06"	"-12.030592"	"3.388"	"-4.2367525"	"TSC22D3"	"TSC22 domain family member 3"
"36630_at"	"0.02072"	"9.85e-06"	"-11.074219"	"3.0838"	"-1.8498005"	"TSC22D3"	"TSC22 domain family member 3"
"40202_at"	"0.02448"	"1.36e-05"	"-10.55867"	"2.8987"	"-1.9029995"	"KLF9"	"Kruppel like factor 9"
"1814_at"	"0.02667"	"1.69e-05"	"-10.21907"	"2.7678"	"-1.6128505"	"TGFBR2"	"transforming growth factor beta receptor 2"
"37760_at"	"0.0325"	"2.50e-05"	"-9.636987"	"2.5248"	"-1.417769"	"BAIAP2"	"BAI1 associated protein 2"
"34721_at"	"0.0325"	"2.57e-05"	"-9.593969"	"2.5058"	"-2.8182845"	"FKBP5"	"FK506 binding protein 5"
"31850_at"	"0.03744"	"3.26e-05"	"-9.257297"	"2.3525"	"-1.3570925"	"GCLC"	"glutamate-cysteine ligase catalytic subunit"
"37225_at"	"0.08209"	"7.99e-05"	"-8.073337"	"1.7351"	"-1.2199095"	"KANK1"	"KN motif and ankyrin repeat domains 1"
"33272_at"	"0.08209"	"8.45e-05"	"-8.003156"	"1.6942"	"-1.893474"	"SAA1"	"serum amyloid A1"
"38326_at"	"0.08474"	"9.40e-05"	"7.87305"	"1.6171"	"1.382508"	"G0S2"	"G0/G1 switch 2"
"37430_at"	"0.09143"	"1.09e-04"	"-7.697499"	"1.5101"	"-1.872606"	"ALOX15B"	"arachidonate 15-lipoxygenase, type B"
